name,category,types,rating,review,city,lat,lng,review_count,review_avg_rating,user_ratings_total
"Indian Military Memorial","museum","museum | tourist_attraction | point_of_interest | establishment",4.5,"","bengaluru",12.985431,77.59017159999999,0,4.5,347
"KALPAKA TRAVELS","tourist attraction","tourist_attraction | point_of_interest | establishment",3.9,"","bengaluru",12.9608805,77.5778287,0,3.9,342
"Mahatma Gandhi Park","park","park | tourist_attraction | point_of_interest | establishment",4.2,"","bengaluru",12.9771523,77.5997292,0,4.2,312
"Sri Prasanna Krishnaswamy Swamy temple, Tulasithota","hindu temple","hindu_temple | tourist_attraction | place_of_worship | point_of_interest | establishment",4.6,"","bengaluru",12.9731905,77.5734846,0,4.6,288
"Sri Venkateshwara Travel Agency","travel agency","travel_agency | car_rental | tourist_attraction | point_of_interest | establishment",4.8,"","bengaluru",12.9998845,77.524961,0,4.8,279
"Shri Rama Devara Devasthana","hindu temple","hindu_temple | tourist_attraction | place_of_worship | point_of_interest | establishment",4.6,"","bengaluru",12.9485991,77.5970732,0,4.6,273
"City Civil Courts Mayo Hall Unit","tourist attraction","tourist_attraction | courthouse | local_government_office | point_of_interest | establishment",4.1,"","bengaluru",12.9741112,77.6106502,0,4.1,268
"Shri Kalabhairaveshwara Swamy Temple","hindu temple","hindu_temple | tourist_attraction | place_of_worship | point_of_interest | establishment",4.7,"","bengaluru",12.9535301,77.5594191,0,4.7,242
"BAPS Shri Swaminarayana Temple","hindu temple","hindu_temple | tourist_attraction | place_of_worship | health | point_of_interest | establishment",4.8,"","bengaluru",12.9784742,77.54854639999999,0,4.8,236
"Hanumagiri hills","tourist attraction","tourist_attraction | point_of_interest | establishment",4.6,"","bengaluru",12.9187258,77.5363998,0,4.6,224
"Lotus Pond - Lalbagh","park","park | tourist_attraction | point_of_interest | establishment",4.3,"","bengaluru",12.9478225,77.5855733,0,4.3,222
"HAL Tejas Model Display","tourist attraction","tourist_attraction | point_of_interest | establishment",4.6,"","bengaluru",12.9808402,77.59716039999999,0,4.6,217
"Turnkey Holidays - International Tours and Travels Agency Bengaluru","tourist attraction","tourist_attraction | travel_agency | point_of_interest | establishment",4.7,"","bengaluru",13.0093173,77.5487012,0,4.7,208
"RC HOLIDAYS TOURS AND TRAVELS -BEST TRAVEL AGENCY IN BANGALORE","tourist attraction","tourist_attraction | travel_agency | point_of_interest | establishment",4.8,"","bengaluru",12.9432924,77.56457710000001,0,4.8,206
"Halasuru Lake","tourist attraction","tourist_attraction | point_of_interest | establishment",4.2,"","bengaluru",12.981375,77.6193141,0,4.2,211
"Shri Venugopala Swami Devasthana","hindu temple","hindu_temple | tourist_attraction | place_of_worship | point_of_interest | establishment",4.4,"","bengaluru",12.9326768,77.5379445,0,4.4,201
"White Silk Cotton Tree","tourist attraction","tourist_attraction | point_of_interest | establishment",4.6,"","bengaluru",12.9499104,77.5826604,0,4.6,189
"Band Stand","tourist attraction","tourist_attraction | point_of_interest | establishment",4.5,"","bengaluru",12.9767034,77.59394139999999,0,4.5,186
"Queen Victoria Statue","tourist attraction","tourist_attraction | point_of_interest | establishment",4.4,"","bengaluru",12.9767965,77.5990644,0,4.4,177
"Topiary Garden (Lalbagh)","tourist attraction","tourist_attraction | point_of_interest | establishment",4.5,"","bengaluru",12.950709,77.5831087,0,4.5,173
"Madiwala Lake View","tourist attraction","tourist_attraction | point_of_interest | establishment",4.2,"","bengaluru",12.9104073,77.6157401,0,4.2,176
"Japanese Garden (Lalbagh)","tourist attraction","tourist_attraction | point_of_interest | establishment",4.1,"","bengaluru",12.9513341,77.5867169,0,4.1,174
"ISKCON Temple View Point","tourist attraction","tourist_attraction | point_of_interest | establishment",4.7,"","bengaluru",13.0109351,77.5512182,0,4.7,163
"Nigesh the cat","tourist attraction","tourist_attraction | point_of_interest | establishment",4.8,"","bengaluru",12.9948322,77.58698489999999,0,4.8,162
"Janatha Bazaar Park","park","park | tourist_attraction | point_of_interest | establishment",4.5,"","bengaluru",13.0067661,77.5820851,0,4.5,164
"Asian Travel Agency: Premier Tour Operator and Travel Agency","tourist attraction","tourist_attraction | local_government_office | travel_agency | point_of_interest | establishment",4.3,"","bengaluru",12.953733,77.5802526,0,4.3,155
"Clock Tower","tourist attraction","tourist_attraction | point_of_interest | establishment",4.3,"","bengaluru",12.9886242,77.60269579999999,0,4.3,139
"BTM lake front","tourist attraction","tourist_attraction | point_of_interest | establishment",4.4,"","bengaluru",12.9086844,77.61528009999999,0,4.4,130
"Tree Fossil","tourist attraction","tourist_attraction | point_of_interest | establishment",4.2,"","bengaluru",12.9505293,77.5838278,0,4.2,124
"Shri Annapoorneshwari Devi Gudi","hindu temple","hindu_temple | tourist_attraction | place_of_worship | point_of_interest | establishment",4.7,"","bengaluru",12.9885435,77.5630281,0,4.7,119
"ROYAL DREAM TO FLY PRIVATE LIMITED","tourist attraction","tourist_attraction | travel_agency | point_of_interest | establishment",4.3,"","bengaluru",12.940773,77.5426985,0,4.3,122
"SME Tours and Travels","travel agency","travel_agency | tourist_attraction | point_of_interest | establishment",4.8,"","bengaluru",12.9180139,77.5571105,0,4.8,115
"K1BOND HILLS","tourist attraction","tourist_attraction | point_of_interest | establishment",4.3,"","bengaluru",12.9173021,77.5299081,0,4.3,114
"Shri Kashi Vishveshwara Swamy Temple","hindu temple","hindu_temple | tourist_attraction | place_of_worship | point_of_interest | establishment",4.6,"","bengaluru",12.9586051,77.5644367,0,4.6,108
"Shri Arunachaleshwara Temple","hindu temple","hindu_temple | tourist_attraction | place_of_worship | point_of_interest | establishment",4.7,"","bengaluru",12.9134129,77.5290813,0,4.7,102
"Swami Vivekananda Statue","tourist attraction","tourist_attraction | point_of_interest | establishment",4.7,"","bengaluru",12.9478686,77.56792329999999,0,4.7,100
"Thathwamasi Tours Bengaluru","tourist attraction","tourist_attraction | travel_agency | place_of_worship | point_of_interest | establishment",4.9,"","bengaluru",12.9433,77.5586703,0,4.9,93
"SNS Travels Holiday Package Trips","travel agency","travel_agency | tourist_attraction | point_of_interest | establishment",4.7,"","bengaluru",12.9968546,77.5704966,0,4.7,94
"Brigade Gateway Lake","tourist attraction","tourist_attraction | point_of_interest | establishment",4.5,"","bengaluru",13.0114688,77.5560344,0,4.5,95
"Aralikatte","tourist attraction","tourist_attraction | point_of_interest | establishment",4.2,"","bengaluru",12.9224695,77.5743267,0,4.2,88
