name,city,shopping_score,user_ratings_total,weighted_rating,popularity_score
𝗦𝘂𝗻 𝗖𝗶𝘁𝘆 - 𝗠𝗼𝗱𝘂𝗹𝗮𝗿 𝗞𝗶𝘁𝗰𝗵𝗲𝗻𝘀 & 𝗜𝗻𝘁𝗲𝗿𝗶𝗼𝗿 𝗗𝗲𝘀𝗶𝗴𝗻𝗲𝗿𝘀,thrissur,0.7549,483,4.3318,0.5557
Indian Industries,kochi,0.7543,20,4.2254,0.2737
Real Choice Chicken,kochi,0.7543,28,4.2198,0.3027
Aneesh Store,wayanad,0.7541,1,4.2191,0.0623
Aspinwall House,kochi,0.754,8076,4.4442,0.8087
mk store,wayanad,0.7539,2,4.2185,0.0988
"Domino's Pizza | Pattom, Thiruvananthapuram",thiruvananthapuram,0.7534,3035,4.0266,0.7208
OYO Hotel Green Dreams,kochi,0.7532,378,4.1203,0.5337
East Hill Museum Complex,kozhikode,0.7529,147,4.2311,0.4492
Dileep Store,wayanad,0.7528,7,4.2165,0.1869
Nilkamal Neo Combines(Authorised distributor),thiruvananthapuram,0.7523,23,4.2162,0.2857
Divine Cakery,thiruvananthapuram,0.7521,62,4.2211,0.3724
"Domino's Pizza | HilIte Mall, Calicut",kozhikode,0.7521,1504,4.0819,0.6577
2nd Mile,munnar,0.7511,17,4.2202,0.2598
Aithen Home Stay,alappuzha,0.7507,26,4.221,0.2963
TRE chilla,thrissur,0.7503,57,4.2292,0.365
Hotel National Tourist Home,thrissur,0.7502,1582,4.2546,0.6622
ANJANA STORES & RESTAURANT,alappuzha,0.7499,1,4.2191,0.0623
Pookaithayaar Paravur Alappuzha,alappuzha,0.7498,47,4.2183,0.348
Photo Point,munnar,0.7497,753,4.2956,0.5956
Dream Kerala,alappuzha,0.7497,9,4.2222,0.207
Stylehomes Arts & Interior,thrissur,0.7494,6,4.221,0.1749
"St Peter & St Paul Church , Venduruthy",kochi,0.7489,122,4.2349,0.4326
Vadakkechira,thrissur,0.7489,288,4.2289,0.5094
PAT 4 PETS VETERINARY MEDICAL STORE,thiruvananthapuram,0.7488,402,4.2156,0.5392
Tappu cafe,alappuzha,0.7484,11,4.2202,0.2234
Payyakkil Misty View Point,munnar,0.7482,3,4.2199,0.1246
Manassery Beach View Point,kochi,0.7478,140,4.224,0.4448
Anu Stores,kochi,0.7475,2,4.2195,0.0988
McDonald's,kozhikode,0.7474,2448,4.2084,0.7015
Blueberry Shake n Bake,alappuzha,0.7472,193,4.217,0.4735
MAP Project Space,kochi,0.7468,121,4.229,0.4318
Wayanad Village Inn,wayanad,0.7467,86,4.2385,0.4014
"Sree Narayana Gurukulam, Chempazhanthy",thiruvananthapuram,0.7466,1065,4.3859,0.6267
Guest House Park,kannur,0.7466,118,4.2288,0.4296
Collection O Green Aura Resort Alappuzha,alappuzha,0.7466,409,4.1646,0.5408
GreenHaven Tours,kochi,0.7464,217,4.256,0.484
Mananchira Park,kozhikode,0.7464,11,4.2197,0.2234
Food Mall Restaurant,thrissur,0.7461,2898,3.8526,0.7166
Vrindhavanam Store,wayanad,0.7457,0,4.2187,0.0
Chinese fishingnets,kochi,0.7454,11,4.2186,0.2234
"""Art""",kannur,0.7451,21,4.2247,0.2779
Cafe Serenitea,thrissur,0.745,15,4.2238,0.2492
the long house collective,kozhikode,0.745,12,4.2222,0.2306
Lavanya Store,munnar,0.7439,1,4.2191,0.0623
Eluvathingal 85,thrissur,0.7438,988,4.0802,0.6199
Indian Coffee House imperial,kozhikode,0.7437,762,4.0756,0.5966
Athma Art Gallery,kozhikode,0.7435,21,4.2268,0.2779
Edachovva canal palam,kannur,0.7435,17,4.2202,0.2598
Tourist Limit point,munnar,0.7432,65,4.2212,0.3766
Canoe Boating Aleppey,alappuzha,0.743,36,4.2325,0.3246
Sea Hut Home Stay,kochi,0.7427,510,4.2758,0.5606
Milma Booth,kozhikode,0.7425,0,4.2187,0.0
Pullooppi Kadavu Park and Floating Restaurant,kannur,0.7425,295,4.2034,0.5115
Kerala Holidays Pvt. Ltd. केरल टूर पैकेज,kochi,0.7423,1960,4.4569,0.6815
Vasco Homestay,kochi,0.7421,240,4.2381,0.493
Vanchikulam,thrissur,0.7421,210,4.1979,0.4811
Ansari Park,kozhikode,0.7419,83,4.2259,0.3983
KKN rental store,wayanad,0.7419,0,4.2187,0.0
"Pizza Hut | Sobha City Mall, Thrissur",thrissur,0.7418,2303,4.3692,0.696
GRAND TILES CENTRE PANAMARAM,wayanad,0.7417,227,4.1862,0.488
Polo doors,wayanad,0.7414,12,4.2222,0.2306
Kumbalangi Puzhayoram Homestay,kochi,0.7413,412,4.2497,0.5415
Veli Seaside Near Veli Church,thiruvananthapuram,0.7413,28,4.217,0.3027
Paddy N' Canal Boating,alappuzha,0.741,75,4.2469,0.3893
Chandrika Metals,kozhikode,0.7409,65,4.2055,0.3766
Kulukki hub,munnar,0.7405,5,4.2206,0.1611
Sixth Avenue Cafe,kozhikode,0.7404,3379,4.2069,0.7304
Varakkal Beach,kozhikode,0.7403,4241,4.206,0.7508
Poojappura Park,thiruvananthapuram,0.7403,4712,4.2056,0.7603
Munnar Rose Garden,munnar,0.7401,9994,4.2864,0.8279
Soft and tops,kozhikode,0.7395,6,4.2204,0.1749
Maha Tiffin Centre,munnar,0.7392,12,4.2198,0.2306
Kurinji Café,munnar,0.7392,12,4.2144,0.2306
Kashi Art Café,kochi,0.7392,10900,4.2029,0.8357
SOLO INN,kochi,0.7391,322,4.2854,0.5194
St. Mary's Orthodox Church,munnar,0.7391,19,4.2223,0.2693
Taste The Brews and grills,munnar,0.7389,124,4.2059,0.434
Cochin Port,kochi,0.7388,227,4.2372,0.488
ILLIKKAL JUNCTION,kochi,0.7388,160,4.2321,0.4568
Tiles India,kozhikode,0.7388,4,4.2188,0.1447
OYO Hotel Cocoa Tree,munnar,0.7387,128,4.1634,0.4369
coffee time,alappuzha,0.7386,76,4.2143,0.3905
Café Cuba,kochi,0.7385,98,4.1898,0.4131
Kottathara Checkdam,wayanad,0.7383,56,4.2182,0.3634
Manuelsons Malabar Palace,kozhikode,0.7383,3981,4.1397,0.7452
Manaveeyam Street Shops,thiruvananthapuram,0.738,10,4.2166,0.2155
Veli Lake Tourist Village,thiruvananthapuram,0.738,19516,4.2017,0.888
Schneider Electric - Grand Tiles Centre,wayanad,0.7378,0,4.2187,0.0
Vilangan Hills,thrissur,0.7376,5832,4.1303,0.7795
Ojin Bakes,kozhikode,0.7376,1425,3.9613,0.6528
Onnam mile,wayanad,0.7374,0,4.2187,0.0
Suncity Food Court,thrissur,0.7374,4,4.2182,0.1447
Hydel Park Recreation Area,munnar,0.7367,20,4.2195,0.2737
Hotel Ambadi,thiruvananthapuram,0.7367,625,4.0476,0.5788
Muziris Contemporary Kochi (Art Gallery),kochi,0.7364,25,4.2246,0.2929
Kettezhuthum Kadavu,kochi,0.7362,65,4.2275,0.3766
SunRice Traders,kochi,0.7359,4,4.2182,0.1447
"Moideen's Makkani, Mugadar",kozhikode,0.7353,130,4.2175,0.4382
Art Gallery And Krishna Menon Museum,kozhikode,0.7353,862,4.2131,0.6077
Omo Kids Store,kochi,0.7351,51,4.2008,0.3552
