name,category,rating,sentiment,city,lat,lng,review_count,review_avg_rating,user_ratings_total,has_review,review_length,popularity_signal
MARIMAYAM,tourist attraction,0.0,0.5,kochi,9.8795383,76.3079862,0,0.0,0,0,0,0.0
Aryvi View Point,tourist attraction,4.4,0.8178280845824253,kochi,9.944254,76.30618270000001,5,4.6,45,1,202,3.828641
"Babilon City, Makrimada",tourist attraction,0.0,0.5,kochi,9.9460274,76.3032695,0,0.0,0,0,0,0.0
LAKE BAY CRUISES (Backwater Boating ),tourist attraction,4.2,0.5816609127180411,kochi,9.9279015,76.3226505,5,3.8,395,1,141,5.981414
Makrimada River,tourist attraction,0.0,0.5,kochi,9.946004600000002,76.3063969,0,0.0,0,0,0,0.0
Maradu Municipality Royal Walkway Anju Thaikal Bund Road,tourist attraction,4.0,0.700498723980355,kochi,9.9338242,76.3205067,5,4.0,10,1,72,2.397895
Indo-Portuguese Museum,tourist attraction,3.8,0.6424063099298637,kochi,9.9620603,76.24012859999999,5,3.4,1749,1,599,7.467371
Kochi Tour,travel agency,4.5,0.8894006309518172,kochi,9.9601742,76.2408836,5,5.0,14,1,267,2.70805
The Sacred Lotus,tourist attraction,4.8,0.8977264443780189,kochi,9.961341899999995,76.2382248,5,5.0,93,1,647,4.543295
Cat Paradise,tourist attraction,0.0,0.5,kochi,9.962327,76.241677,0,0.0,0,0,0,0.0
"Bishop's House, Fort Cochin",tourist attraction,4.6,0.8228567658212251,kochi,9.9623453,76.23997539999999,5,4.4,25,1,128,3.258097
Peter celli street,tourist attraction,4.4,0.8407099967983809,kochi,9.9642979,76.2416223,5,4.0,28,1,140,3.367296
Fort Kochi Beach,tourist attraction,4.3,0.8730703146709649,kochi,9.9637158,76.23746109999999,5,4.4,7061,1,405,8.862484
Vasco BigB House,tourist attraction,4.2,0.7438208012603632,kochi,9.965899000000002,76.241478,5,3.4,78,1,135,4.369448
Big B Shooting Location,tourist attraction,4.4,0.8389576391107463,kochi,9.9660167,76.2414345,5,3.8,1765,1,315,7.476472
Messi’s graffiti,tourist attraction,4.7,0.8630046727468232,kochi,9.9664542,76.2427347,3,5.0,7,1,601,2.079442
Fort Kochi,tourist attraction,5.0,0.5,kochi,9.9663674,76.24158709999999,0,5.0,1,0,0,0.693147
Fort Kochi View Point,tourist attraction,4.5,0.8996305661316422,kochi,9.965708,76.237989,5,4.0,3263,1,457,8.090709
Jail of Freedom Struggle,tourist attraction,4.3,0.694417365255506,kochi,9.9672431,76.24374499999999,5,4.8,41,1,228,3.73767
Vypin Tank Farm view,tourist attraction,0.0,0.5,kochi,9.9665797,76.2388378,0,0.0,0,0,0,0.0
Fort Kochi Wings,tourist attraction,4.4,0.8837167972379589,kochi,9.967367,76.24157,5,4.6,53,1,116,3.988984
Bastion Bungalow,tourist attraction,4.2,0.8663222626754885,kochi,9.9673645,76.2412429,5,4.6,558,1,282,6.326149
"Little Flower Syro-Malabar Church, Elamkulam",tourist attraction,4.6,0.9210450197050936,kochi,9.9683774,76.30340590000002,5,4.8,2455,1,604,7.806289
Lumiere Holidays( Best tour operator),tourist attraction,4.8,0.9577370606174643,kochi,9.9640325,76.3181014,5,5.0,348,1,485,5.855072
Sree Chimpeswary Square,tourist attraction,0.0,0.5,kochi,9.9518022,76.29941649999999,0,0.0,0,0,0,0.0
Cholan Tours Pvt. Ltd - Cochin,tourist attraction,4.5,0.8490650140408754,kochi,9.959762,76.2960611,5,4.2,94,1,583,4.553877
smoke spot,tourist attraction,0.0,0.5,kochi,9.9497445,76.31192329999999,0,0.0,0,0,0,0.0
Makrimada Backwaters,tourist attraction,0.0,0.5,kochi,9.954548699999998,76.3138109,0,0.0,0,0,0,0.0
