name,category,types,rating,review,city,lat,lng,review_count,review_avg_rating,user_ratings_total,interest_scores_json,interest_tags,interest_tag_count,interest_tags_json,intent_scores_json,intent_tags,intent_tag_count,intent_tags_json,clean_interest_tags,clean_interest_tag_count,clean_interest_tags_json,clean_intent_tags,clean_intent_tag_count,clean_intent_tags_json
Shri Ramanjaneya Gudda Temple,hindu temple,hindu_temple | tourist_attraction | place_of_worship | point_of_interest | establishment,4.7,,bengaluru,12.9446167,77.5632595,0,4.7,2538,"{""culture"": 1.0}",culture,1,"[""culture""]","{""spiritual stop"": 0.67}",spiritual stop,1,"[""spiritual stop""]",culture,1,"[""culture""]",spiritual stop,1,"[""spiritual stop""]"
Sri Krishna Sri Raghavendra Swamy Matha,hindu temple,hindu_temple | tourist_attraction | place_of_worship | point_of_interest | establishment,4.7,,bengaluru,12.9405477,77.5425569,0,4.7,2397,"{""culture"": 1.0}",culture,1,"[""culture""]","{""spiritual stop"": 0.67}",spiritual stop,1,"[""spiritual stop""]",culture,1,"[""culture""]",spiritual stop,1,"[""spiritual stop""]"
Gandhi Bhavana,museum,museum | tourist_attraction | point_of_interest | establishment,4.3,,bengaluru,12.987898,77.58023299999999,0,4.3,2348,"{""culture"": 0.81, ""history"": 1.0, ""art"": 0.93}",art | culture | history,3,"[""art"", ""culture"", ""history""]","{""museum visit"": 0.67}",museum visit,1,"[""museum visit""]",art | culture | history,3,"[""art"", ""culture"", ""history""]",museum visit,1,"[""museum visit""]"
Sri Kailasa Vaikunta Mahakshetra Temple,hindu temple,hindu_temple | tourist_attraction | place_of_worship | point_of_interest | establishment,4.7,,bengaluru,12.9820268,77.5557736,0,4.7,2249,"{""culture"": 1.0}",culture,1,"[""culture""]","{""spiritual stop"": 0.67}",spiritual stop,1,"[""spiritual stop""]",culture,1,"[""culture""]",spiritual stop,1,"[""spiritual stop""]"
Hotel Grand Bee,tourist attraction,tourist_attraction | restaurant | lodging | point_of_interest | food | establishment,3.9,,bengaluru,13.0199,77.5544449,0,3.9,2063,"{""food"": 0.52}",food,1,"[""food""]",{},,0,[],food,1,"[""food""]",,0,[]
Ascension Church,tourist attraction,tourist_attraction | church | place_of_worship | point_of_interest | establishment,4.6,,bengaluru,13.0024983,77.6257601,0,4.6,1960,"{""culture"": 0.66}",culture,1,"[""culture""]","{""spiritual stop"": 0.67}",spiritual stop,1,"[""spiritual stop""]",culture,1,"[""culture""]",spiritual stop,1,"[""spiritual stop""]"
Sacred Heart Church,tourist attraction,tourist_attraction | church | place_of_worship | point_of_interest | establishment,4.7,,bengaluru,12.9662738,77.609807,0,4.7,1877,"{""culture"": 0.66}",culture,1,"[""culture""]","{""spiritual stop"": 0.67}",spiritual stop,1,"[""spiritual stop""]",culture,1,"[""culture""]",spiritual stop,1,"[""spiritual stop""]"
National Gallery of Modern Art (Bengaluru),library,library | art_gallery | tourist_attraction | cafe | museum | food | point_of_interest | store | establishment,4.3,,bengaluru,12.9894116,77.5880553,0,4.3,1823,"{""history"": 0.66, ""food"": 0.58, ""art"": 0.76}",art | food | history,3,"[""art"", ""food"", ""history""]","{""art experience"": 0.79, ""museum visit"": 0.79, ""cafe stop"": 0.67}",art experience | cafe stop | museum visit,3,"[""art experience"", ""cafe stop"", ""museum visit""]",art | food | history,3,"[""art"", ""food"", ""history""]",art experience | cafe stop | museum visit,3,"[""art experience"", ""cafe stop"", ""museum visit""]"
Maha Bodhi Society,tourist attraction,tourist_attraction | place_of_worship | point_of_interest | establishment,4.7,,bengaluru,12.9784856,77.5810225,0,4.7,1796,{},,0,[],{},,0,[],,0,[],,0,[]
Floral Clock,tourist attraction,tourist_attraction | point_of_interest | establishment,4.3,,bengaluru,12.9518954,77.58489329999999,0,4.3,1715,{},,0,[],{},,0,[],,0,[],,0,[]
Sri Yadugiri Yathiraja Mutt,hindu temple,hindu_temple | tourist_attraction | place_of_worship | point_of_interest | establishment,4.5,,bengaluru,13.0021189,77.571186,0,4.5,1639,"{""culture"": 1.0}",culture,1,"[""culture""]","{""spiritual stop"": 0.67}",spiritual stop,1,"[""spiritual stop""]",culture,1,"[""culture""]",spiritual stop,1,"[""spiritual stop""]"
National Military Memorial Park,park,park | tourist_attraction | point_of_interest | establishment,4.5,,bengaluru,12.9854791,77.59048469999999,0,4.5,1573,"{""nature"": 0.96}",nature,1,"[""nature""]",{},,0,[],nature,1,"[""nature""]",,0,[]
Kalyana Venkateshwara Swamy Temple,hindu temple,hindu_temple | tourist_attraction | place_of_worship | point_of_interest | establishment,4.7,,bengaluru,12.910415,77.5822853,0,4.7,1560,"{""culture"": 1.0}",culture,1,"[""culture""]","{""spiritual stop"": 0.67}",spiritual stop,1,"[""spiritual stop""]",culture,1,"[""culture""]",spiritual stop,1,"[""spiritual stop""]"
Sree Lakshmi Venkateshwara Siddhi Vinayaka varadanjaneya Devasthana,hindu temple,hindu_temple | tourist_attraction | place_of_worship | point_of_interest | establishment,4.6,,bengaluru,12.9161402,77.602916,0,4.6,1485,"{""culture"": 1.0}",culture,1,"[""culture""]","{""spiritual stop"": 0.67}",spiritual stop,1,"[""spiritual stop""]",culture,1,"[""culture""]",spiritual stop,1,"[""spiritual stop""]"
The Weekend Dog Park @ Cubbon Park,park,park | tourist_attraction | point_of_interest | establishment,4.8,,bengaluru,12.9743559,77.5901927,0,4.8,1479,"{""nature"": 0.96}",nature,1,"[""nature""]",{},,0,[],nature,1,"[""nature""]",,0,[]
Rangoli Metro Art Center,art gallery,art_gallery | tourist_attraction | point_of_interest | establishment,4.3,,bengaluru,12.9763051,77.60379019999999,0,4.3,1473,"{""culture"": 0.81, ""art"": 1.0}",art | culture,2,"[""art"", ""culture""]","{""art experience"": 0.79}",art experience,1,"[""art experience""]",art | culture,2,"[""art"", ""culture""]",art experience,1,"[""art experience""]"
NIMHANS Brain Museum Bengaluru,museum,museum | tourist_attraction | point_of_interest | establishment,4.6,,bengaluru,12.9398589,77.595128,0,4.6,1394,"{""culture"": 0.81, ""history"": 1.0, ""art"": 0.93}",art | culture | history,3,"[""art"", ""culture"", ""history""]","{""museum visit"": 0.67}",museum visit,1,"[""museum visit""]",art | culture | history,3,"[""art"", ""culture"", ""history""]",museum visit,1,"[""museum visit""]"
Kote Sri Prasanna Venkataramana Swamy Temple,hindu temple,hindu_temple | tourist_attraction | place_of_worship | point_of_interest | establishment,4.7,,bengaluru,12.9595393,77.5740643,0,4.7,1299,"{""culture"": 1.0}",culture,1,"[""culture""]","{""spiritual stop"": 0.67}",spiritual stop,1,"[""spiritual stop""]",culture,1,"[""culture""]",spiritual stop,1,"[""spiritual stop""]"
Government Museum,museum,museum | tourist_attraction | point_of_interest | establishment,4.2,,bengaluru,12.9746376,77.595827,0,4.2,1199,"{""culture"": 0.81, ""history"": 1.0, ""art"": 0.93}",art | culture | history,3,"[""art"", ""culture"", ""history""]","{""museum visit"": 0.67}",museum visit,1,"[""museum visit""]",art | culture | history,3,"[""art"", ""culture"", ""history""]",museum visit,1,"[""museum visit""]"
Lalbagh Waterfall,tourist attraction,tourist_attraction | point_of_interest | establishment,4.3,,bengaluru,12.9466354,77.5864963,0,4.3,1171,{},,0,[],{},,0,[],,0,[],,0,[]
Venkatappa Art Gallery Bengaluru,art gallery,art_gallery | tourist_attraction | point_of_interest | establishment,4.2,,bengaluru,12.9742357,77.5953023,0,4.2,1169,"{""culture"": 0.81, ""art"": 1.0}",art | culture,2,"[""art"", ""culture""]","{""art experience"": 0.79}",art experience,1,"[""art experience""]",art | culture,2,"[""art"", ""culture""]",art experience,1,"[""art experience""]"
