name,category,rating,sentiment,city,lat,lng,review_count,review_avg_rating,user_ratings_total,has_review,review_length,popularity_signal
Mahaveer Marble ART Gallery | Marble Idols in Bangalore | God Idols in Bangalore,art gallery,4.3,0.5,bengaluru,12.9460308,77.6026397,0,4.3,68,0,0,4.234107
Pandey Moorti Bhandar (Pandey Marble Arts) - Best Marble Murti Statue Manufacturer,museum,4.6,0.5,bengaluru,13.0041399,77.5494302,0,4.6,57,0,0,4.060443
Science Park,museum,4.6,0.5,bengaluru,12.9847437,77.5900042,0,4.6,45,0,0,3.828641
Hobby Ghar,art gallery,4.9,0.5,bengaluru,12.9958851,77.5794774,0,4.9,42,0,0,3.7612
Dyu Art Cafe,art gallery,4.4,0.5,bengaluru,12.9374249,77.61765659999999,0,4.4,20752,0,0,9.940446
Chitra Santhe - (Bengaluru),art gallery,4.6,0.5,bengaluru,12.9887836,77.58110669999999,0,4.6,1369,0,0,7.222566
TRIPPINK Tattoo Studio,art gallery,4.9,0.5,bengaluru,12.9338398,77.61950159999999,0,4.9,1339,0,0,7.200425
Oviyam Tanjore Art Gallery - Tanjore Painting in Bengaluru,art gallery,5.0,0.5,bengaluru,12.9222947,77.59715469999999,0,5.0,796,0,0,6.680855
Reliance Fine Art,art gallery,4.1,0.5,bengaluru,12.9817529,77.607878,0,4.1,777,0,0,6.656727
Marudhar Arts,art gallery,4.4,0.5,bengaluru,12.9755888,77.6050894,0,4.4,718,0,0,6.577861
Tarang Arts Jayanagar - Tanjore paintings and Handicrafts in Bangalore,art gallery,4.5,0.5,bengaluru,12.9260005,77.5858568,0,4.5,478,0,0,6.171701
Tanjore Collective,art gallery,4.9,0.5,bengaluru,12.9475177,77.5752898,0,4.9,400,0,0,5.993961
Kalakar Tattoo studio | ಕಲಾಕಾರ್ ಟ್ಯಾಟೂ ಸ್ಟುಡಿಯೋ,art gallery,4.8,0.5,bengaluru,12.9291145,77.5853504,0,4.8,369,0,0,5.913503
Bhavya Art Gallery,art gallery,4.9,0.5,bengaluru,12.9428133,77.6026902,0,4.9,327,0,0,5.793014
Divine Gallery,art gallery,4.3,0.5,bengaluru,12.946563,77.60269,0,4.3,318,0,0,5.765191
Tallenge Store,art gallery,4.4,0.5,bengaluru,12.9327799,77.6304619,0,4.4,285,0,0,5.655992
